2026-06-26 13:49:17.174 [ForkJoinPool-2-worker-1] INFO  com.bootcamp.group2.hooks.Hooks - Starting: Login fails with various invalid credentials combinations
2026-06-26 13:49:17.174 [ForkJoinPool-2-worker-1] INFO  com.bootcamp.group2.utils.DriverFactory - Initializing WebDriver | browser=chrome | headless=false | remote=false | platform=WEB
2026-06-26 13:49:17.344 [ForkJoinPool-2-worker-3] INFO  com.bootcamp.group2.utils.DriverFactory - Closing WebDriver for thread: ForkJoinPool-2-worker-3
2026-06-26 13:49:17.876 [ForkJoinPool-2-worker-3] INFO  com.bootcamp.group2.hooks.Hooks - Finished: Login fails with empty email — Status: PASSED
2026-06-26 13:49:17.893 [ForkJoinPool-2-worker-3] INFO  com.bootcamp.group2.hooks.Hooks - Starting: Login fails with empty password
2026-06-26 13:49:17.894 [ForkJoinPool-2-worker-3] INFO  com.bootcamp.group2.utils.DriverFactory - Initializing WebDriver | browser=chrome | headless=false | remote=false | platform=WEB
2026-06-26 13:49:18.012 [ForkJoinPool-2-worker-2] INFO  com.bootcamp.group2.utils.DriverFactory - Closing WebDriver for thread: ForkJoinPool-2-worker-2
2026-06-26 13:49:18.138 [ForkJoinPool-2-worker-1] INFO  com.bootcamp.group2.utils.DriverFactory - WebDriver successfully initialized for thread: ForkJoinPool-2-worker-1
2026-06-26 13:49:18.144 [ForkJoinPool-2-worker-1] INFO  com.bootcamp.group2.pages.web.login.WebLoginPage - Opening URL: https://magang.dikahadir.com/authentication/login
2026-06-26 13:49:18.663 [ForkJoinPool-2-worker-2] INFO  com.bootcamp.group2.hooks.Hooks - Finished: Mobile login fails with various invalid credentials combinations — Status: PASSED
2026-06-26 13:49:18.677 [ForkJoinPool-2-worker-2] INFO  com.bootcamp.group2.hooks.Hooks - Starting: Mobile login fails with various invalid credentials combinations
2026-06-26 13:49:18.677 [ForkJoinPool-2-worker-2] INFO  com.bootcamp.group2.utils.DriverFactory - Initializing WebDriver | browser=chrome | headless=false | remote=false | platform=WEB
2026-06-26 13:49:18.940 [ForkJoinPool-2-worker-4] INFO  com.bootcamp.group2.utils.DriverFactory - Closing WebDriver for thread: ForkJoinPool-2-worker-4
2026-06-26 13:49:18.944 [ForkJoinPool-2-worker-3] INFO  com.bootcamp.group2.utils.DriverFactory - WebDriver successfully initialized for thread: ForkJoinPool-2-worker-3
2026-06-26 13:49:18.961 [ForkJoinPool-2-worker-3] INFO  com.bootcamp.group2.pages.web.login.WebLoginPage - Opening URL: https://magang.dikahadir.com/authentication/login
2026-06-26 13:49:19.466 [ForkJoinPool-2-worker-4] INFO  com.bootcamp.group2.hooks.Hooks - Finished: Login fails with unregistered email — Status: PASSED
2026-06-26 13:49:19.477 [ForkJoinPool-2-worker-4] INFO  com.bootcamp.group2.hooks.Hooks - Starting: Login fails with various invalid credentials combinations
2026-06-26 13:49:19.477 [ForkJoinPool-2-worker-4] INFO  com.bootcamp.group2.utils.DriverFactory - Initializing WebDriver | browser=chrome | headless=false | remote=false | platform=WEB
2026-06-26 13:49:19.714 [ForkJoinPool-2-worker-2] INFO  com.bootcamp.group2.utils.DriverFactory - WebDriver successfully initialized for thread: ForkJoinPool-2-worker-2
2026-06-26 13:49:19.719 [ForkJoinPool-2-worker-2] INFO  c.b.group2.pages.mobile.login.MobileLoginPage - Opening URL: https://magang.dikahadir.com/absen/login
2026-06-26 13:49:20.477 [ForkJoinPool-2-worker-4] INFO  com.bootcamp.group2.utils.DriverFactory - WebDriver successfully initialized for thread: ForkJoinPool-2-worker-4
2026-06-26 13:49:20.485 [ForkJoinPool-2-worker-4] INFO  com.bootcamp.group2.pages.web.login.WebLoginPage - Opening URL: https://magang.dikahadir.com/authentication/login
2026-06-26 13:49:21.813 [ForkJoinPool-2-worker-1] INFO  com.bootcamp.group2.utils.DriverFactory - Closing WebDriver for thread: ForkJoinPool-2-worker-1
2026-06-26 13:49:22.005 [ForkJoinPool-2-worker-3] INFO  com.bootcamp.group2.utils.DriverFactory - Closing WebDriver for thread: ForkJoinPool-2-worker-3
2026-06-26 13:49:22.244 [ForkJoinPool-2-worker-1] INFO  com.bootcamp.group2.hooks.Hooks - Finished: Login fails with various invalid credentials combinations — Status: PASSED
2026-06-26 13:49:22.259 [ForkJoinPool-2-worker-1] INFO  com.bootcamp.group2.hooks.Hooks - Starting: Mobile login successful with valid credentials
2026-06-26 13:49:22.260 [ForkJoinPool-2-worker-1] INFO  com.bootcamp.group2.utils.DriverFactory - Initializing WebDriver | browser=chrome | headless=false | remote=false | platform=WEB
2026-06-26 13:49:22.345 [ForkJoinPool-2-worker-3] INFO  com.bootcamp.group2.hooks.Hooks - Finished: Login fails with empty password — Status: PASSED
2026-06-26 13:49:22.360 [ForkJoinPool-2-worker-3] INFO  com.bootcamp.group2.hooks.Hooks - Starting: Forgot Password button is visible on mobile login page
2026-06-26 13:49:22.360 [ForkJoinPool-2-worker-3] INFO  com.bootcamp.group2.utils.DriverFactory - Initializing WebDriver | browser=chrome | headless=false | remote=false | platform=WEB
2026-06-26 13:49:23.141 [ForkJoinPool-2-worker-4] INFO  com.bootcamp.group2.utils.DriverFactory - Closing WebDriver for thread: ForkJoinPool-2-worker-4
2026-06-26 13:49:23.203 [ForkJoinPool-2-worker-2] INFO  com.bootcamp.group2.utils.DriverFactory - Closing WebDriver for thread: ForkJoinPool-2-worker-2
2026-06-26 13:49:23.311 [ForkJoinPool-2-worker-1] INFO  com.bootcamp.group2.utils.DriverFactory - WebDriver successfully initialized for thread: ForkJoinPool-2-worker-1
2026-06-26 13:49:23.321 [ForkJoinPool-2-worker-1] INFO  c.b.group2.pages.mobile.login.MobileLoginPage - Opening URL: https://magang.dikahadir.com/absen/login
2026-06-26 13:49:23.498 [ForkJoinPool-2-worker-3] INFO  com.bootcamp.group2.utils.DriverFactory - WebDriver successfully initialized for thread: ForkJoinPool-2-worker-3
